Array Size,Num Processors,Run Time
32768,1,0.008479
32768,2,0.004835
32768,4,0.002787
32768,8,0.004077
32768,16,0.009021
32768,32,0.018375
32768,64,0.035794
65536,1,0.011368
65536,2,0.008103
65536,4,0.005573
65536,8,0.005004
65536,16,0.011808
65536,32,0.020507
65536,64,0.037147
131072,1,0.017092
131072,2,0.012424
131072,4,0.010284
131072,8,0.005634
131072,16,0.012943
131072,32,0.023628
131072,64,0.041706
262144,1,0.033789
262144,2,0.021275
262144,4,0.015328
262144,8,0.008419
262144,16,0.013023
262144,32,0.027781
262144,64,0.042276
524288,1,0.064813
524288,2,0.036563
524288,4,0.026714
524288,8,0.014302
524288,16,0.018858
524288,32,0.03399
524288,64,0.050386
1048576,1,0.130585
1048576,2,0.070593
1048576,4,0.049274
1048576,8,0.030194
1048576,16,0.028089
1048576,32,0.041242
1048576,64,0.068818
2097152,1,0.26489
2097152,2,0.149524
2097152,4,0.083455
2097152,8,0.045836
2097152,16,0.036323
2097152,32,0.047816
2097152,64,0.07537
4194304,1,0.540644
4194304,2,0.287866
4194304,4,0.152543
4194304,8,0.088963
4194304,16,0.065876
4194304,32,0.066658
4194304,64,0.095543
8388608,1,1.10591
8388608,2,0.59215
8388608,4,0.314153
8388608,8,0.177651
8388608,16,0.123955
8388608,32,0.130406
8388608,64,0.120746
16777216,1,2.265998
16777216,2,1.170348
16777216,4,0.631418
16777216,8,0.448039
16777216,16,0.299249
16777216,32,0.21773
16777216,64,0.229708
33554432,1,4.631419
33554432,2,2.462437
33554432,4,1.328074
33554432,8,0.778466
33554432,16,0.542979
33554432,32,0.446754
33554432,64,0.473365
67108864,1,9.404465
67108864,2,5.068608
67108864,4,2.716733
67108864,8,1.637487
67108864,16,1.181907
67108864,32,0.962001
67108864,64,0.920743
134217728,1,17.964076
134217728,2,10.324935
134217728,4,5.574529
134217728,8,3.409634
134217728,16,2.454056
134217728,32,2.071884
134217728,64,2.174792
268435456,1,35.461308
268435456,2,20.00045
268435456,4,11.249397
268435456,8,6.870025
268435456,16,5.062797
268435456,32,4.200364
268435456,64,4.267989
536870912,1,71.333911
536870912,2,39.393294
536870912,4,21.92636
536870912,8,13.371432
536870912,16,10.476592
536870912,32,8.626573
536870912,64,9.178299
